Time,CO2,NO2,CO ,PM 1.0,PM 2.5,PM 10,
2022-3-4 13:1:25,853.13,40.88,46.02,6,8,12,
2022-3-4 13:1:35,868.75,40.11,44.37,6,8,12,--Note--
2022-3-4 13:1:45,853.13,40.57,43.22,6,9,13,
2022-3-4 13:1:55,837.5,40.73,41.67,7,11,14,
2022-3-4 13:2:5,837.5,39.8,41.02,7,11,14,
2022-3-4 13:2:15,853.13,39.8,39.76,6,9,10,
2022-3-4 13:2:25,837.5,40.42,39.76,6,9,13,
2022-3-4 13:2:35,837.5,40.26,38.73,6,9,13,
2022-3-4 13:2:45,837.5,39.04,38.33,6,9,13,
2022-3-4 13:2:55,837.5,39.04,37.73,7,10,14,
2022-3-4 13:3:5,837.5,39.96,37.15,7,10,14,
2022-3-4 13:3:15,837.5,39.65,37.34,7,10,14,
2022-3-4 13:3:25,853.13,38.58,36.38,7,10,14,
2022-3-4 13:3:35,837.5,39.34,36,7,10,14,
2022-3-4 13:3:45,884.38,37.07,36,7,10,13,
2022-3-4 13:3:55,900,36.17,35.81,7,10,13,
2022-3-4 13:4:5,900,36.02,36,7,10,13,
2022-3-4 13:4:15,900,36.47,35.81,7,11,16,
2022-3-4 13:4:25,946.88,34.69,35.26,7,11,16,
2022-3-4 13:4:35,868.75,38.13,34.71,7,11,16,
2022-3-4 13:4:45,868.75,37.97,34.53,7,11,15,
2022-3-4 13:4:55,825,38.73,34.35,7,11,16,
2022-3-4 13:5:5,825,38.43,34.17,7,11,16,
2022-3-4 13:5:15,837.5,37.52,34.17,7,11,13,
2022-3-4 13:5:25,825,38.28,34.17,7,10,13,
2022-3-4 13:5:35,825,37.97,34.17,7,10,13,
2022-3-4 13:5:45,837.5,36.77,34.17,7,10,13,
2022-3-4 13:5:55,853.13,36.77,34.17,6,9,13,
2022-3-4 13:6:5,837.5,37.67,34.53,6,9,13,
2022-3-4 13:6:15,837.5,37.52,34.35,6,9,13,
2022-3-4 13:6:25,853.13,36.62,33.81,6,9,13,
2022-3-4 13:6:35,868.75,36.77,33.99,6,9,13,
2022-3-4 13:6:45,853.13,37.22,33.64,6,9,13,
2022-3-4 13:6:55,868.75,36.62,35.44,6,9,13,
2022-3-4 13:7:5,868.75,36.02,34.71,6,9,13,
2022-3-4 13:7:15,868.75,36.77,34.35,6,9,13,
2022-3-4 13:7:25,868.75,36.47,33.99,6,9,13,
2022-3-4 13:7:35,868.75,35.43,33.99,6,9,13,
2022-3-4 13:7:45,884.38,35.43,34.17,6,9,13,
2022-3-4 13:7:55,868.75,36.47,34.71,7,10,14,
2022-3-4 13:8:5,868.75,36.32,34.17,7,10,14,
2022-3-4 13:8:15,884.38,35.43,34.35,7,10,14,
2022-3-4 13:8:25,900,35.58,34.17,7,10,14,
2022-3-4 13:8:35,884.38,36.32,34.17,7,10,14,
2022-3-4 13:8:45,900,35.28,33.64,7,10,14,
2022-3-4 13:8:55,900,35.43,33.99,7,10,14,
2022-3-4 13:9:5,900,36.17,33.29,7,10,14,
2022-3-4 13:9:15,900,35.88,33.12,7,10,14,
2022-3-4 13:9:25,915.63,34.69,32.77,7,10,14,
2022-3-4 13:9:35,915.63,34.55,32.6,7,10,14,
2022-3-4 13:9:45,915.63,35.28,32.6,7,10,14,
2022-3-4 13:9:55,915.63,34.99,32.43,6,9,13,
2022-3-4 13:10:5,915.63,34.4,32.43,6,9,13,
2022-3-4 13:10:15,915.63,34.99,32.43,6,9,13,
2022-3-4 13:10:25,915.63,34.69,32.43,6,9,12,
2022-3-4 13:10:35,931.25,33.67,32.43,6,9,12,
2022-3-4 13:10:45,931.25,33.52,32.6,6,9,12,
2022-3-4 13:10:55,915.63,34.55,32.77,7,10,14,
2022-3-4 13:11:5,915.63,34.55,33.12,7,10,14,
2022-3-4 13:11:15,915.63,33.67,32.77,7,10,14,
2022-3-4 13:11:25,915.63,33.38,32.6,7,10,14,
2022-3-4 13:11:35,962.5,31.79,32.26,7,10,14,
2022-3-4 13:11:45,962.5,31.5,32.26,7,10,14,
2022-3-4 13:11:55,975,30.65,32.26,7,10,14,
2022-3-4 13:12:5,975,30.93,31.76,7,10,14,
2022-3-4 13:12:15,1021.88,29.52,31.43,7,10,14,
2022-3-4 13:12:25,931.25,32.65,31.76,7,10,14,
2022-3-4 13:12:35,931.25,32.8,31.93,7,10,14,
2022-3-4 13:12:45,915.63,33.52,32.26,7,10,14,
2022-3-4 13:12:55,915.63,33.38,32.26,7,10,14,
2022-3-4 13:13:5,931.25,32.51,32.26,7,10,14,
2022-3-4 13:13:15,946.88,32.8,32.43,7,10,14,
2022-3-4 13:13:25,931.25,33.38,31.59,7,10,14,
2022-3-4 13:13:35,931.25,32.65,32.26,7,10,14,
2022-3-4 13:13:45,946.88,32.51,32.09,7,10,14,
2022-3-4 13:13:55,946.88,33.38,32.26,6,9,13,
2022-3-4 13:14:5,946.88,33.23,32.09,6,9,13,
2022-3-4 13:14:15,962.5,32.36,31.93,6,9,13,
2022-3-4 13:14:25,962.5,32.22,31.76,7,10,14,
2022-3-4 13:14:35,946.88,32.8,31.76,7,10,14,
2022-3-4 13:14:45,962.5,32.65,31.27,7,10,14,
2022-3-4 13:14:55,962.5,31.5,31.27,6,9,13,
2022-3-4 13:15:5,962.5,31.93,31.27,6,9,13,
2022-3-4 13:15:15,946.88,32.22,31.27,6,9,13,
2022-3-4 13:15:25,962.5,31.22,31.43,7,10,14,
2022-3-4 13:15:35,975,31.22,31.43,7,10,14,
2022-3-4 13:15:45,962.5,32.08,31.76,7,10,14,
2022-3-4 13:15:55,962.5,31.93,31.43,6,8,12,
2022-3-4 13:16:5,975,31.08,31.43,6,8,12,
2022-3-4 13:16:15,975,31.22,31.59,6,8,12,
2022-3-4 13:16:25,962.5,31.93,31.43,6,9,13,
2022-3-4 13:16:35,962.5,31.79,31.1,6,9,13,
2022-3-4 13:16:45,975,31.08,31.1,6,9,13,
2022-3-4 13:16:55,962.5,31.79,31.27,6,9,13,
2022-3-4 13:17:5,962.5,31.93,31.27,6,9,13,
2022-3-4 13:17:15,975,30.79,31.27,6,9,13,
2022-3-4 13:17:25,990.63,30.79,30.94,6,9,13,
2022-3-4 13:17:35,962.5,31.79,31.27,6,9,13,
2022-3-4 13:17:45,962.5,31.65,30.94,6,9,13,
2022-3-4 13:17:55,975,30.93,30.94,7,10,14,
2022-3-4 13:18:5,962.5,30.93,30.94,7,10,14,
2022-3-4 13:18:15,946.88,31.65,31.1,7,10,14,
2022-3-4 13:18:25,962.5,31.22,30.46,7,10,14,
2022-3-4 13:18:35,962.5,30.08,29.99,7,10,14,
2022-3-4 13:18:45,962.5,30.65,29.99,7,10,14,
2022-3-4 13:18:55,962.5,30.51,30.78,7,10,13,
2022-3-4 13:19:5,962.5,29.66,30.78,7,10,13,
2022-3-4 13:19:15,1006.25,27.43,30.3,7,10,13,
2022-3-4 13:19:25,990.63,27.98,30.46,6,9,13,
2022-3-4 13:19:35,990.63,27.98,30.46,6,9,13,
2022-3-4 13:19:45,1021.88,26.61,30.78,6,9,13,
2022-3-4 13:19:55,1068.75,25.93,31.1,5,9,13,
2022-3-4 13:20:5,946.88,30.37,31.27,5,9,13,
2022-3-4 13:20:15,931.25,30.08,31.43,5,9,13,
2022-3-4 13:20:26,946.88,29.8,31.59,5,9,13,
2022-3-4 13:20:35,946.88,30.93,31.93,6,9,13,
2022-3-4 13:20:45,946.88,31.22,31.93,6,9,13,
2022-3-4 13:20:55,962.5,30.37,31.76,6,9,13,
2022-3-4 13:21:5,975,30.51,32.09,7,10,14,
2022-3-4 13:21:15,962.5,31.22,31.76,7,10,14,
2022-3-4 13:21:25,975,31.08,32.43,7,10,14,
2022-3-4 13:21:35,990.63,30.22,32.26,7,10,14,
2022-3-4 13:21:45,990.63,29.94,32.43,7,10,14,
2022-3-4 13:21:55,975,30.08,32.6,7,10,14,
2022-3-4 13:22:5,990.63,29.1,32.6,7,10,14,
2022-3-4 13:22:15,1006.25,29.1,32.6,7,10,14,
2022-3-4 13:22:25,990.63,29.94,32.6,7,10,14,
2022-3-4 13:22:35,990.63,29.94,32.77,6,9,13,
2022-3-4 13:22:45,1006.25,28.82,32.26,6,9,13,
2022-3-4 13:22:55,1021.88,28.68,32.43,6,9,13,
2022-3-4 13:23:5,1006.25,29.66,32.77,6,9,12,
2022-3-4 13:23:15,1006.25,29.52,32.77,6,9,12,
2022-3-4 13:23:25,1037.5,28.82,32.94,6,9,12,
2022-3-4 13:23:35,1021.88,29.8,32.6,6,9,13,
2022-3-4 13:23:45,1021.88,29.66,32.6,6,9,13,
2022-3-4 13:23:55,1053.13,28.68,32.26,6,9,13,
2022-3-4 13:24:5,1053.13,28.68,32.43,7,10,14,
2022-3-4 13:24:15,1053.13,29.38,32.26,7,10,14,
2022-3-4 13:24:25,1053.13,29.38,32.26,7,10,14,
2022-3-4 13:24:35,1068.75,28.54,32.43,7,10,13,
2022-3-4 13:24:45,1068.75,28.68,32.6,7,10,13,
2022-3-4 13:24:55,1053.13,29.38,32.43,7,10,13,
2022-3-4 13:25:5,1053.13,28.82,32.26,7,10,14,
2022-3-4 13:25:15,1068.75,28.26,32.43,7,10,14,
2022-3-4 13:25:25,1053.13,29.1,32.94,7,10,14,
2022-3-4 13:25:35,1084.38,27.02,34.35,7,11,16,
2022-3-4 13:25:45,1084.38,25.11,35.07,7,11,16,
2022-3-4 13:25:55,1084.38,24.84,35.07,7,11,16,
2022-3-4 13:26:5,1068.75,25.79,35.44,7,11,16,
2022-3-4 13:26:15,1068.75,26.06,35.26,7,11,16,
2022-3-4 13:26:25,1096.88,25.38,35.07,7,11,16,
2022-3-4 13:26:35,1096.88,25.79,35.44,7,11,16,
2022-3-4 13:26:45,1096.88,26.33,35.63,7,11,16,
2022-3-4 13:26:55,1159.38,24.3,35.44,7,11,16,
2022-3-4 13:27:6,1175,24.04,35.26,7,11,16,
2022-3-4 13:27:15,1159.38,24.84,35.44,7,11,16,
2022-3-4 13:27:25,1206.25,23.77,34.89,7,11,16,
2022-3-4 13:27:35,1143.75,26.06,35.26,7,11,16,
2022-3-4 13:27:45,1159.38,26.2,35.44,7,11,16,
2022-3-4 13:27:55,1159.38,26.88,35.26,7,11,16,
2022-3-4 13:28:5,1159.38,26.88,34.89,7,11,16,
2022-3-4 13:28:15,1159.38,26.06,34.71,8,13,18,
2022-3-4 13:28:25,1159.38,26.61,35.81,8,13,18,
2022-3-4 13:28:35,1159.38,27.02,35.81,8,13,18,
2022-3-4 13:28:45,1175,26.06,36.19,8,12,17,
2022-3-4 13:28:55,1159.38,26.2,37.15,8,12,17,
2022-3-4 13:29:5,1143.75,27.02,37.54,8,12,17,
2022-3-4 13:29:15,1128.13,26.88,37.15,7,11,16,
2022-3-4 13:29:25,1143.75,26.06,37.15,7,11,16,
2022-3-4 13:29:35,1128.13,26.2,36.76,7,11,16,
2022-3-4 13:29:45,1112.5,27.02,37.34,8,12,17,
2022-3-4 13:29:55,1112.5,26.88,36.76,8,12,17,
2022-3-4 13:30:5,1159.38,23.37,38.53,8,12,17,
2022-3-4 13:30:15,1112.5,25.65,39.35,7,11,16,
2022-3-4 13:30:25,1128.13,26.2,41.46,7,11,16,
2022-3-4 13:30:35,1159.38,22.97,41.24,7,11,16,
2022-3-4 13:30:45,1159.38,21.53,41.67,7,11,16,
2022-3-4 13:30:55,1143.75,23.9,41.46,7,11,16,
2022-3-4 13:31:5,1175,24.17,41.24,7,11,16,
2022-3-4 13:31:15,1265.63,16.42,41.24,8,13,19,
2022-3-4 13:31:25,1250,18.31,41.24,8,13,19,
2022-3-4 13:31:35,1234.38,20.36,41.67,8,13,19,
2022-3-4 13:31:45,1234.38,20.23,39.76,8,13,19,
2022-3-4 13:31:55,1250,20.48,39.76,8,13,19,
2022-3-4 13:32:5,1250,21,40.18,8,13,19,
2022-3-4 13:32:15,1281.25,19.33,40.18,9,13,19,
2022-3-4 13:32:25,1265.63,19.84,40.18,9,13,19,
2022-3-4 13:32:35,1281.25,19.84,38.73,9,13,19,
2022-3-4 13:32:45,1281.25,16.92,39.76,8,13,19,
2022-3-4 13:32:55,1265.63,19.84,41.02,8,13,19,
2022-3-4 13:33:5,1281.25,19.33,38.94,8,13,19,
2022-3-4 13:33:15,1296.88,19.58,39.14,8,12,15,
2022-3-4 13:33:25,1281.25,19.84,39.55,8,12,15,
2022-3-4 13:33:35,1328.13,19.84,38.73,8,12,15,
2022-3-4 13:33:45,1312.5,19.33,39.14,8,12,17,
2022-3-4 13:33:55,1312.5,21,38.13,8,12,17,
2022-3-4 13:34:5,1312.5,20.23,38.53,8,12,17,
2022-3-4 13:34:15,1328.13,19.07,38.33,8,12,17,
2022-3-4 13:34:25,1371.88,16.8,37.73,8,12,17,
2022-3-4 13:34:35,1356.25,17.42,38.33,8,12,17,
2022-3-4 13:34:45,1343.75,18.05,38.53,8,12,17,
2022-3-4 13:34:55,1387.5,16.3,39.76,8,12,17,
2022-3-4 13:35:5,1250,22.05,37.73,8,12,17,
2022-3-4 13:35:15,1265.63,22.71,37.54,8,13,19,
2022-3-4 13:35:25,1281.25,21.66,37.54,8,13,19,
2022-3-4 13:35:35,1265.63,21.66,38.94,8,13,19,
2022-3-4 13:35:45,1265.63,21.66,36.95,8,12,17,
2022-3-4 13:35:55,1265.63,20.74,36,8,12,17,
2022-3-4 13:36:5,1296.88,19.33,37.15,8,12,17,
2022-3-4 13:36:15,1296.88,19.97,37.34,8,12,17,
2022-3-4 13:36:25,1265.63,20.74,37.34,8,12,17,
2022-3-4 13:36:35,1312.5,21.39,36.19,8,12,17,
2022-3-4 13:36:45,1296.88,19.33,37.93,8,12,17,
2022-3-4 13:36:55,1250,17.42,39.97,8,12,17,
2022-3-4 13:37:5,1250,17.3,38.73,8,12,17,
2022-3-4 13:37:15,1265.63,16.3,38.13,9,14,20,
2022-3-4 13:37:25,1265.63,18.43,38.73,9,14,20,
2022-3-4 13:37:35,1234.38,20.87,38.53,9,14,20,
